W0404 19:50:16.536000 29748 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:   5.3038 | norm:   0.9764 | time:    14.77 | tok/s: 69.367576 | lr: 0.000100
step:       10 | loss:   5.2662 | norm:   1.7733 | time:    76.27 | tok/s: 15222.189109 | lr: 0.000600
step:       20 | loss:   5.1073 | norm:   1.6773 | time:    79.01 | tok/s: 15097.248979 | lr: 0.001100
step:       30 | loss:   4.9370 | norm:   1.8162 | time:    81.72 | tok/s: 15118.200220 | lr: 0.001600
step:       40 | loss:   4.6743 | norm:   2.0341 | time:    84.44 | tok/s: 15135.101796 | lr: 0.002100
step:       50 | loss:   4.5065 | norm:   2.3174 | time:    87.15 | tok/s: 15246.262005 | lr: 0.002600
step:       60 | loss:   4.2212 | norm:   2.2793 | time:    89.87 | tok/s: 15083.185705 | lr: 0.003100
step:       70 | loss:   4.3214 | norm:   2.7544 | time:    92.59 | tok/s: 15186.866340 | lr: 0.003600
step:       80 | loss:   4.0636 | norm:   2.4629 | time:    95.30 | tok/s: 15159.153961 | lr: 0.004100
step:       90 | loss:   3.8650 | norm:   2.5540 | time:    98.04 | tok/s: 15113.492091 | lr: 0.004600
step:      100 | loss:   3.5194 | norm:   2.8285 | time:   100.76 | tok/s: 15117.814416 | lr: 0.005100
step:      110 | loss:   3.6929 | norm:   2.8929 | time:   103.48 | tok/s: 15256.199707 | lr: 0.005600
step:      120 | loss:   3.4762 | norm:   3.1295 | time:   106.19 | tok/s: 15050.152241 | lr: 0.006100
step:      130 | loss:   3.7407 | norm:   2.8379 | time:   108.91 | tok/s: 15165.429957 | lr: 0.006600
step:      140 | loss:   3.3399 | norm:   3.0529 | time:   111.62 | tok/s: 15129.810166 | lr: 0.007100
step:      150 | loss:   3.9304 | norm:   4.2179 | time:   114.34 | tok/s: 15102.464748 | lr: 0.007600
step:      160 | loss:   3.4503 | norm:   3.2014 | time:   117.05 | tok/s: 14155.818336 | lr: 0.008100
step:      170 | loss:   3.3933 | norm:   3.2049 | time:   119.78 | tok/s: 15166.474230 | lr: 0.008600
step:      180 | loss:   3.3362 | norm:   3.1998 | time:   122.50 | tok/s: 15069.677336 | lr: 0.009100
step:      190 | loss:   3.3397 | norm:   3.2797 | time:   125.22 | tok/s: 15096.200951 | lr: 0.009600
step:      200 | loss:   3.4688 | norm:   3.6105 | time:   127.94 | tok/s: 15168.335535 | lr: 0.010100
step:      210 | loss:   3.2340 | norm:   4.2279 | time:   130.65 | tok/s: 15147.993126 | lr: 0.010000
step:      220 | loss:   3.2760 | norm:   3.5921 | time:   133.37 | tok/s: 15132.768758 | lr: 0.010000
step:      230 | loss:   3.2229 | norm:   2.6647 | time:   136.08 | tok/s: 15205.361731 | lr: 0.010000
step:      240 | loss:   3.5235 | norm:   3.7199 | time:   138.82 | tok/s: 15162.378291 | lr: 0.010000
step:      250 | loss:   3.1931 | norm:   2.8144 | time:   141.53 | tok/s: 15085.940625 | lr: 0.010000
step:      260 | loss:   3.2666 | norm:   3.5853 | time:   144.25 | tok/s: 15228.760401 | lr: 0.010000
step:      270 | loss:   3.0246 | norm:   2.8062 | time:   146.96 | tok/s: 15119.677102 | lr: 0.010000
step:      280 | loss:   2.8864 | norm:   2.8276 | time:   149.68 | tok/s: 15057.908691 | lr: 0.010000
step:      290 | loss:   3.1625 | norm:   2.7986 | time:   152.40 | tok/s: 15076.011745 | lr: 0.010000
step:      300 | loss:   3.0722 | norm:   2.9913 | time:   155.12 | tok/s: 15086.695755 | lr: 0.010000
step:      310 | loss:   3.0124 | norm:   2.7136 | time:   157.87 | tok/s: 15102.358539 | lr: 0.010000
step:      320 | loss:   2.8950 | norm:   2.7449 | time:   160.59 | tok/s: 15094.954121 | lr: 0.010000
step:      330 | loss:   3.2680 | norm:   2.9836 | time:   163.31 | tok/s: 15080.617120 | lr: 0.010000
step:      340 | loss:   3.0259 | norm:   2.7580 | time:   166.03 | tok/s: 14989.171754 | lr: 0.010000
step:      350 | loss:   3.0162 | norm:   2.6868 | time:   168.76 | tok/s: 15189.954734 | lr: 0.010000
step:      360 | loss:   3.1486 | norm:   3.3205 | time:   171.48 | tok/s: 15076.302806 | lr: 0.010000
step:      370 | loss:   3.7015 | norm:   3.9249 | time:   174.20 | tok/s: 15038.887975 | lr: 0.010000
step:      380 | loss:   3.2630 | norm:   3.3037 | time:   176.92 | tok/s: 15146.951396 | lr: 0.010000
step:      390 | loss:   2.9918 | norm:   3.0721 | time:   179.66 | tok/s: 15127.851735 | lr: 0.010000
step:      400 | loss:   2.9961 | norm:   3.0767 | time:   182.38 | tok/s: 15007.922622 | lr: 0.010000
step:      410 | loss:   3.0847 | norm:   3.4935 | time:   185.10 | tok/s: 15107.219146 | lr: 0.010000
step:      420 | loss:   2.9708 | norm:   2.6965 | time:   187.83 | tok/s: 14884.771397 | lr: 0.010000
step:      430 | loss:   3.0762 | norm:   2.8811 | time:   190.56 | tok/s: 15135.621829 | lr: 0.010000
step:      440 | loss:   3.0211 | norm:   3.1486 | time:   193.28 | tok/s: 15100.327572 | lr: 0.010000
step:      450 | loss:   3.1615 | norm:   3.0265 | time:   196.00 | tok/s: 15041.178985 | lr: 0.010000
step:      460 | loss:   2.9798 | norm:   3.9201 | time:   198.74 | tok/s: 15105.147029 | lr: 0.010000
step:      470 | loss:   2.9099 | norm:   3.0137 | time:   201.46 | tok/s: 15195.409487 | lr: 0.010000
step:      480 | loss:   3.0341 | norm:   3.4280 | time:   204.18 | tok/s: 15125.174702 | lr: 0.010000
step:      490 | loss:   3.0689 | norm:   3.7203 | time:   206.90 | tok/s: 15002.116890 | lr: 0.010000
step:      500 | loss:   2.9189 | norm:   3.4124 | time:   209.63 | tok/s: 15173.372722 | lr: 0.010000
step:      510 | loss:   2.9853 | norm:   3.2418 | time:   212.35 | tok/s: 15030.598774 | lr: 0.010000
step:      520 | loss:   2.8442 | norm:   2.7765 | time:   215.08 | tok/s: 15041.429195 | lr: 0.010000
step:      530 | loss:   2.7420 | norm:   3.2555 | time:   217.81 | tok/s: 15148.033195 | lr: 0.010000
step:      540 | loss:   2.9297 | norm:   2.8786 | time:   220.55 | tok/s: 15135.301804 | lr: 0.010000
step:      550 | loss:   2.8399 | norm:   4.1163 | time:   223.27 | tok/s: 15085.079605 | lr: 0.010000
step:      560 | loss:   3.0695 | norm:   3.5136 | time:   225.99 | tok/s: 15113.492091 | lr: 0.010000
step:      570 | loss:   2.9441 | norm:   3.2292 | time:   228.72 | tok/s: 14973.586135 | lr: 0.010000
step:      580 | loss:   2.9262 | norm:   3.5205 | time:   231.44 | tok/s: 15026.510171 | lr: 0.010000
step:      590 | loss:   2.8825 | norm:   4.4155 | time:   234.16 | tok/s: 15148.567474 | lr: 0.010000
step:      600 | loss:   2.8623 | norm:   3.2273 | time:   236.89 | tok/s: 15065.105061 | lr: 0.010000
step:      610 | loss:   2.9025 | norm:   4.1533 | time:   239.65 | tok/s: 15116.643819 | lr: 0.010000
step:      620 | loss:   2.6918 | norm:   3.7075 | time:   242.37 | tok/s: 15116.790134 | lr: 0.010000
step:      630 | loss:   2.8977 | norm:   3.4846 | time:   245.10 | tok/s: 15091.400457 | lr: 0.010000
step:      640 | loss:   2.8490 | norm:   3.7002 | time:   247.82 | tok/s: 15083.225433 | lr: 0.010000
step:      650 | loss:   3.0985 | norm:   3.4877 | time:   250.55 | tok/s: 15187.873287 | lr: 0.010000
step:      660 | loss:   2.8097 | norm:   4.0180 | time:   253.27 | tok/s: 15095.405078 | lr: 0.010000
step:      670 | loss:   2.7614 | norm:   3.4778 | time:   255.99 | tok/s: 15144.374399 | lr: 0.010000
step:      680 | loss:   2.9144 | norm:   3.8290 | time:   258.71 | tok/s: 15095.590775 | lr: 0.010000
step:      690 | loss:   2.8414 | norm:   3.8901 | time:   261.45 | tok/s: 15090.989507 | lr: 0.010000
step:      700 | loss:   2.9309 | norm:   4.1581 | time:   264.18 | tok/s: 15136.755356 | lr: 0.010000
step:      710 | loss:   2.8200 | norm:   3.1251 | time:   266.90 | tok/s: 15063.704861 | lr: 0.010000
step:      720 | loss:   2.6843 | norm:   3.4054 | time:   269.62 | tok/s: 14980.610673 | lr: 0.010000
step:      730 | loss:   2.9255 | norm:   4.6456 | time:   272.35 | tok/s: 15078.856687 | lr: 0.010000
step:      740 | loss:   2.5425 | norm:   4.1959 | time:   275.07 | tok/s: 15207.676823 | lr: 0.010000
step:      750 | loss:   2.6926 | norm:   4.9821 | time:   277.79 | tok/s: 15029.297015 | lr: 0.010000
step:      760 | loss:   2.9599 | norm:   4.3030 | time:   280.52 | tok/s: 15146.764434 | lr: 0.010000
step:      770 | loss:   2.8472 | norm:   4.4357 | time:   283.24 | tok/s: 15131.022782 | lr: 0.010000
step:      780 | loss:   2.9628 | norm:   4.5854 | time:   285.97 | tok/s: 15088.802569 | lr: 0.010000
step:      790 | loss:   2.8721 | norm:   6.4426 | time:   288.69 | tok/s: 15054.913332 | lr: 0.010000
step:      800 | loss:   2.7347 | norm:   3.9798 | time:   291.42 | tok/s: 15079.280213 | lr: 0.010000
step:      810 | loss:   2.6921 | norm:   4.2688 | time:   294.14 | tok/s: 15042.140364 | lr: 0.010000
step:      820 | loss:   2.6774 | norm:   4.1242 | time:   296.87 | tok/s: 15191.647169 | lr: 0.010000
step:      830 | loss:   2.8255 | norm:   3.4222 | time:   299.60 | tok/s: 14289.193847 | lr: 0.010000
step:      840 | loss:   2.8234 | norm:   3.4621 | time:   302.34 | tok/s: 15014.231453 | lr: 0.010000
step:      850 | loss:   2.5774 | norm:   3.5989 | time:   305.06 | tok/s: 15145.843046 | lr: 0.010000
step:      860 | loss:   2.7427 | norm:   3.3767 | time:   307.78 | tok/s: 15110.554322 | lr: 0.010000
step:      870 | loss:   2.8008 | norm:   3.6109 | time:   310.50 | tok/s: 14965.225346 | lr: 0.010000
step:      880 | loss:   2.7182 | norm:   3.5031 | time:   313.23 | tok/s: 15167.545429 | lr: 0.010000
step:      890 | loss:   2.7369 | norm:   4.4037 | time:   315.95 | tok/s: 15161.481763 | lr: 0.010000
step:      900 | loss:   3.0820 | norm:   4.5691 | time:   318.67 | tok/s: 14938.600999 | lr: 0.010000
step:      910 | loss:   2.7677 | norm:   3.6358 | time:   321.41 | tok/s: 15073.366250 | lr: 0.010000
step:      920 | loss:   2.8788 | norm:   3.6728 | time:   324.13 | tok/s: 15068.011967 | lr: 0.010000
step:      930 | loss:   2.9259 | norm:   4.1835 | time:   326.86 | tok/s: 15049.756718 | lr: 0.010000
step:      940 | loss:   2.7866 | norm:   3.9524 | time:   329.58 | tok/s: 15115.473404 | lr: 0.010000
step:      950 | loss:   2.8339 | norm:   4.7859 | time:   332.31 | tok/s: 15063.533157 | lr: 0.010000
step:      960 | loss:   2.8188 | norm:   4.8971 | time:   335.03 | tok/s: 15071.065425 | lr: 0.010000
step:      970 | loss:   2.9193 | norm:   4.8465 | time:   337.76 | tok/s: 15198.353456 | lr: 0.010000
step:      980 | loss:   2.8072 | norm:   4.3187 | time:   340.49 | tok/s: 15066.280901 | lr: 0.010000
step:      990 | loss:   2.8656 | norm:   4.7757 | time:   343.22 | tok/s: 15087.066723 | lr: 0.010000
step:     1000 | loss:   2.5206 | norm:   4.4743 | time:   345.94 | tok/s: 15133.435267 | lr: 0.010000
step:     1010 | loss:   2.6991 | norm:   4.2847 | time:   348.66 | tok/s: 15147.392111 | lr: 0.010000
step:     1020 | loss:   2.6189 | norm:   4.9925 | time:   351.39 | tok/s: 14983.877107 | lr: 0.010000
step:     1030 | loss:   2.6477 | norm:   4.1946 | time:   354.12 | tok/s: 15103.765934 | lr: 0.010000
step:     1040 | loss:   2.7869 | norm:   4.1491 | time:   356.84 | tok/s: 15151.346332 | lr: 0.010000
step:     1050 | loss:   2.8314 | norm:   3.9734 | time:   359.56 | tok/s: 15131.329298 | lr: 0.010000
step:     1060 | loss:   2.6318 | norm:   4.6666 | time:   362.31 | tok/s: 15119.384364 | lr: 0.010000
step:     1070 | loss:   2.6373 | norm:   4.2207 | time:   365.03 | tok/s: 14979.134712 | lr: 0.010000
step:     1080 | loss:   2.6376 | norm:   4.5326 | time:   367.75 | tok/s: 15079.399333 | lr: 0.010000
step:     1090 | loss:   2.6761 | norm:   4.8341 | time:   370.47 | tok/s: 15107.883406 | lr: 0.010000
step:     1100 | loss:   2.9630 | norm:   5.4212 | time:   373.20 | tok/s: 15151.065728 | lr: 0.010000
step:     1110 | loss:   2.6861 | norm:   4.1944 | time:   375.92 | tok/s: 15045.881692 | lr: 0.010000
step:     1120 | loss:   2.6708 | norm:   3.6913 | time:   378.64 | tok/s: 15134.355146 | lr: 0.010000
step:     1130 | loss:   2.7745 | norm:   3.8031 | time:   381.39 | tok/s: 15093.283160 | lr: 0.010000
step:     1140 | loss:   2.5274 | norm:   5.6610 | time:   384.11 | tok/s: 15047.858496 | lr: 0.010000
step:     1150 | loss:   2.8819 | norm:   4.8772 | time:   386.84 | tok/s: 14980.898062 | lr: 0.010000
step:     1160 | loss:   2.7289 | norm:   4.3274 | time:   389.56 | tok/s: 15123.656805 | lr: 0.010000
step:     1170 | loss:   2.7609 | norm:   4.3860 | time:   392.28 | tok/s: 14996.027667 | lr: 0.010000
step:     1180 | loss:   2.6499 | norm:   3.7209 | time:   395.01 | tok/s: 15151.667035 | lr: 0.010000
step:     1190 | loss:   2.8042 | norm:   5.0220 | time:   397.73 | tok/s: 15044.366493 | lr: 0.010000
step:     1200 | loss:   2.3378 | norm:   4.0169 | time:   400.46 | tok/s: 15118.625958 | lr: 0.010000
step:     1210 | loss:   2.6464 | norm:   4.3201 | time:   403.20 | tok/s: 15061.063684 | lr: 0.010000
step:     1220 | loss:   2.6403 | norm:   4.3120 | time:   405.92 | tok/s: 15014.743213 | lr: 0.010000
step:     1230 | loss:   2.5751 | norm:   4.2948 | time:   408.64 | tok/s: 15027.522254 | lr: 0.010000
step:     1240 | loss:   2.7169 | norm:   5.1761 | time:   411.37 | tok/s: 15197.923215 | lr: 0.010000
step:     1250 | loss:   2.6203 | norm:   4.4679 | time:   414.09 | tok/s: 15082.616304 | lr: 0.010000
step:     1260 | loss:   2.9268 | norm:   4.5732 | time:   416.81 | tok/s: 15077.030508 | lr: 0.010000
step:     1270 | loss:   2.8269 | norm:   4.5397 | time:   419.54 | tok/s: 15164.305516 | lr: 0.010000
step:     1280 | loss:   2.7254 | norm:   4.5547 | time:   422.28 | tok/s: 15150.304141 | lr: 0.010000
step:     1290 | loss:   2.5497 | norm:   4.6632 | time:   425.01 | tok/s: 15079.928781 | lr: 0.010000
step:     1300 | loss:   2.6492 | norm:   4.1994 | time:   427.73 | tok/s: 15101.216883 | lr: 0.010000
step:     1310 | loss:   2.6435 | norm:   5.5655 | time:   430.45 | tok/s: 15147.539021 | lr: 0.010000
step:     1320 | loss:   2.6943 | norm:   4.6306 | time:   433.17 | tok/s: 15006.651005 | lr: 0.010000
step:     1330 | loss:   2.6827 | norm:   5.0468 | time:   435.90 | tok/s: 15119.690408 | lr: 0.010000
step:     1340 | loss:   2.6251 | norm:   4.2704 | time:   438.62 | tok/s: 15065.527814 | lr: 0.010000
step:     1350 | loss:   2.5474 | norm:   4.1237 | time:   441.34 | tok/s: 14064.014827 | lr: 0.010000
step:     1360 | loss:   2.5710 | norm:   4.4815 | time:   444.09 | tok/s: 15105.465779 | lr: 0.010000
step:     1370 | loss:   2.7668 | norm:   4.1584 | time:   446.81 | tok/s: 15011.607595 | lr: 0.010000
step:     1380 | loss:   2.6123 | norm:   4.1677 | time:   449.53 | tok/s: 15108.959632 | lr: 0.010000
step:     1390 | loss:   2.7271 | norm:   4.1743 | time:   452.26 | tok/s: 15192.480093 | lr: 0.010000
step:     1400 | loss:   2.5789 | norm:   4.6898 | time:   454.98 | tok/s: 15115.207426 | lr: 0.010000
step:     1410 | loss:   2.5867 | norm:   3.6656 | time:   457.70 | tok/s: 15055.427868 | lr: 0.010000
step:     1420 | loss:   2.7986 | norm:   4.4242 | time:   460.43 | tok/s: 15050.587340 | lr: 0.010000
step:     1430 | loss:   2.6503 | norm:   4.4434 | time:   463.17 | tok/s: 15088.153236 | lr: 0.010000
step:     1440 | loss:   2.7017 | norm:   5.5608 | time:   465.90 | tok/s: 15032.479489 | lr: 0.010000
step:     1450 | loss:   2.6235 | norm:   4.6007 | time:   468.62 | tok/s: 15091.572798 | lr: 0.010000
step:     1460 | loss:   2.6502 | norm:   5.9853 | time:   471.34 | tok/s: 15088.352006 | lr: 0.010000
step:     1470 | loss:   2.6598 | norm:   5.4517 | time:   474.06 | tok/s: 15122.338879 | lr: 0.010000
step:     1480 | loss:   2.8177 | norm:   5.1184 | time:   476.79 | tok/s: 15134.261819 | lr: 0.010000
step:     1490 | loss:   2.6129 | norm:   4.1886 | time:   479.51 | tok/s: 15049.994029 | lr: 0.010000
step:     1500 | loss:   2.9226 | norm:   6.4483 | time:   482.26 | tok/s: 15202.522668 | lr: 0.010000
step:     1510 | loss:   2.5718 | norm:   4.8513 | time:   484.98 | tok/s: 15099.026979 | lr: 0.010000
step:     1520 | loss:   2.8316 | norm:   5.0665 | time:   487.70 | tok/s: 15063.361456 | lr: 0.010000
step:     1530 | loss:   2.9511 | norm:   4.9835 | time:   490.42 | tok/s: 15114.515926 | lr: 0.010000
step:     1540 | loss:   2.7289 | norm:   3.3504 | time:   493.15 | tok/s: 15156.492581 | lr: 0.010000
step:     1550 | loss:   2.6491 | norm:   4.6866 | time:   495.87 | tok/s: 15124.415715 | lr: 0.010000
step:     1560 | loss:   2.6991 | norm:   6.0638 | time:   498.60 | tok/s: 15097.567396 | lr: 0.010000
step:     1570 | loss:   2.7591 | norm:   4.1500 | time:   501.32 | tok/s: 15154.647549 | lr: 0.010000
step:     1580 | loss:   2.5865 | norm:   5.2666 | time:   504.06 | tok/s: 15099.464909 | lr: 0.010000
step:     1590 | loss:   2.5985 | norm:   4.0858 | time:   506.79 | tok/s: 15076.077894 | lr: 0.010000
