W0405 16:31:45.819000 29416 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:   5.3040 | norm:   0.8535 | time:    23.42 | tok/s: 143.946137 | lr: 0.000100
step:       10 | loss:   5.2388 | norm:   1.5899 | time:    83.76 | tok/s: 21618.164913 | lr: 0.000600
step:       20 | loss:   5.1145 | norm:   1.6390 | time:    87.63 | tok/s: 21598.080527 | lr: 0.001100
step:       30 | loss:   4.9885 | norm:   1.6036 | time:    91.47 | tok/s: 21599.316038 | lr: 0.001600
step:       40 | loss:   4.6706 | norm:   1.8946 | time:    95.32 | tok/s: 21541.601983 | lr: 0.002100
step:       50 | loss:   4.3987 | norm:   2.3683 | time:    99.16 | tok/s: 21607.954988 | lr: 0.002600
step:       60 | loss:   4.1563 | norm:   2.0943 | time:   103.01 | tok/s: 21498.619328 | lr: 0.003100
step:       70 | loss:   4.0724 | norm:   2.1578 | time:   106.85 | tok/s: 21646.152246 | lr: 0.003600
step:       80 | loss:   3.8618 | norm:   2.2632 | time:   110.69 | tok/s: 21591.403067 | lr: 0.004100
step:       90 | loss:   3.6403 | norm:   2.0788 | time:   114.54 | tok/s: 21641.789359 | lr: 0.004600
step:      100 | loss:   3.7871 | norm:   2.3527 | time:   118.39 | tok/s: 21604.096490 | lr: 0.005100
step:      110 | loss:   3.4749 | norm:   2.1488 | time:   122.23 | tok/s: 21583.685705 | lr: 0.005600
step:      120 | loss:   3.3726 | norm:   2.2790 | time:   126.08 | tok/s: 21541.088791 | lr: 0.006100
step:      130 | loss:   3.2561 | norm:   2.3524 | time:   129.92 | tok/s: 21555.913660 | lr: 0.006600
step:      140 | loss:   3.1056 | norm:   2.6647 | time:   133.77 | tok/s: 21578.141834 | lr: 0.007100
step:      150 | loss:   3.3189 | norm:   2.3136 | time:   137.61 | tok/s: 21578.128283 | lr: 0.007600
step:      160 | loss:   3.0994 | norm:   2.5458 | time:   141.46 | tok/s: 21678.930057 | lr: 0.008100
step:      170 | loss:   3.3353 | norm:   2.4813 | time:   145.30 | tok/s: 21602.018363 | lr: 0.008600
step:      180 | loss:   3.3189 | norm:   2.7841 | time:   149.14 | tok/s: 21722.088148 | lr: 0.009100
step:      190 | loss:   3.1359 | norm:   3.8256 | time:   152.99 | tok/s: 21590.331258 | lr: 0.009600
step:      200 | loss:   3.3886 | norm:   3.2422 | time:   156.83 | tok/s: 21638.027781 | lr: 0.010100
step:      210 | loss:   3.2185 | norm:   2.3380 | time:   160.67 | tok/s: 21551.370786 | lr: 0.010000
step:      220 | loss:   3.0662 | norm:   2.7074 | time:   164.52 | tok/s: 21581.367505 | lr: 0.010000
step:      230 | loss:   3.2375 | norm:   3.7040 | time:   168.36 | tok/s: 21542.749999 | lr: 0.010000
step:      240 | loss:   3.0960 | norm:   2.6234 | time:   172.21 | tok/s: 21560.593742 | lr: 0.010000
step:      250 | loss:   3.0341 | norm:   2.3582 | time:   176.17 | tok/s: 21305.709098 | lr: 0.010000
step:      260 | loss:   2.9292 | norm:   2.1449 | time:   180.06 | tok/s: 21540.413577 | lr: 0.010000
step:      270 | loss:   2.8268 | norm:   2.4954 | time:   183.93 | tok/s: 21494.772882 | lr: 0.010000
step:      280 | loss:   2.9767 | norm:   2.6121 | time:   187.97 | tok/s: 20711.101662 | lr: 0.010000
step:      290 | loss:   3.1422 | norm:   2.5205 | time:   192.10 | tok/s: 19898.605736 | lr: 0.010000
step:      300 | loss:   2.9778 | norm:   2.7653 | time:   196.13 | tok/s: 21475.400209 | lr: 0.010000
step:      310 | loss:   2.8531 | norm:   2.9037 | time:   200.06 | tok/s: 20593.980451 | lr: 0.010000
step:      320 | loss:   2.8779 | norm:   2.4595 | time:   203.94 | tok/s: 21473.105211 | lr: 0.010000
step:      330 | loss:   2.8848 | norm:   4.1107 | time:   207.84 | tok/s: 21495.929361 | lr: 0.010000
step:      340 | loss:   2.9403 | norm:   2.6895 | time:   211.86 | tok/s: 21025.881349 | lr: 0.010000
step:      350 | loss:   2.8110 | norm:   2.7548 | time:   215.76 | tok/s: 21406.416222 | lr: 0.010000
step:      360 | loss:   2.9161 | norm:   2.8267 | time:   219.63 | tok/s: 21470.783870 | lr: 0.010000
step:      370 | loss:   2.5945 | norm:   3.0702 | time:   224.03 | tok/s: 18003.813719 | lr: 0.010000
step:      380 | loss:   2.8723 | norm:   2.6763 | time:   228.16 | tok/s: 20615.257547 | lr: 0.010000
step:      390 | loss:   2.7313 | norm:   2.9621 | time:   232.27 | tok/s: 20701.717887 | lr: 0.010000
step:      400 | loss:   2.9762 | norm:   2.4118 | time:   236.26 | tok/s: 20610.138135 | lr: 0.010000
step:      410 | loss:   2.8554 | norm:   2.3913 | time:   240.27 | tok/s: 17813.836919 | lr: 0.010000
step:      420 | loss:   2.7744 | norm:   2.3733 | time:   244.46 | tok/s: 20739.867428 | lr: 0.010000
step:      430 | loss:   2.7005 | norm:   2.3908 | time:   248.51 | tok/s: 20700.994492 | lr: 0.010000
step:      440 | loss:   2.8512 | norm:   2.3976 | time:   252.75 | tok/s: 19018.101855 | lr: 0.010000
step:      450 | loss:   2.8468 | norm:   2.8984 | time:   257.00 | tok/s: 19897.269066 | lr: 0.010000
step:      460 | loss:   2.9483 | norm:   2.5108 | time:   261.19 | tok/s: 20212.419301 | lr: 0.010000
step:      470 | loss:   3.0129 | norm:   3.0749 | time:   265.22 | tok/s: 20697.403208 | lr: 0.010000
step:      480 | loss:   3.0397 | norm:   4.5760 | time:   269.27 | tok/s: 20828.249509 | lr: 0.010000
