W0405 17:26:50.985000 22012 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:   5.3029 | norm:   0.6533 | time:    22.22 | tok/s: 259.295641 | lr: 0.000100
step:       10 | loss:   5.2488 | norm:   1.5432 | time:    92.93 | tok/s: 19859.742890 | lr: 0.000600
step:       20 | loss:   5.1188 | norm:   1.5445 | time:   101.32 | tok/s: 20118.326857 | lr: 0.001100
step:       30 | loss:   4.8677 | norm:   1.7051 | time:   109.69 | tok/s: 19652.862581 | lr: 0.001600
step:       40 | loss:   4.5495 | norm:   1.9669 | time:   117.98 | tok/s: 20013.984481 | lr: 0.002100
step:       50 | loss:   4.3380 | norm:   2.2193 | time:   126.26 | tok/s: 19536.659443 | lr: 0.002600
step:       60 | loss:   4.1028 | norm:   2.1300 | time:   134.65 | tok/s: 20114.128274 | lr: 0.003100
step:       70 | loss:   3.8040 | norm:   2.3989 | time:   143.06 | tok/s: 19700.967521 | lr: 0.003600
step:       80 | loss:   3.5531 | norm:   2.1684 | time:   151.47 | tok/s: 19927.179620 | lr: 0.004100
step:       90 | loss:   3.4736 | norm:   2.2960 | time:   159.85 | tok/s: 19875.418107 | lr: 0.004600
step:      100 | loss:   3.6314 | norm:   2.1319 | time:   168.16 | tok/s: 19505.489150 | lr: 0.005100
step:      110 | loss:   3.3495 | norm:   2.1568 | time:   176.69 | tok/s: 19905.718458 | lr: 0.005600
step:      120 | loss:   3.2556 | norm:   2.5112 | time:   184.99 | tok/s: 19900.668709 | lr: 0.006100
step:      130 | loss:   3.1631 | norm:   2.4758 | time:   193.35 | tok/s: 19662.033827 | lr: 0.006600
step:      140 | loss:   3.0930 | norm:   1.8604 | time:   201.70 | tok/s: 19831.693879 | lr: 0.007100
step:      150 | loss:   2.9275 | norm:   2.0448 | time:   210.03 | tok/s: 20311.705696 | lr: 0.007600
step:      160 | loss:   3.0722 | norm:   2.2803 | time:   218.43 | tok/s: 19659.502586 | lr: 0.008100
step:      170 | loss:   3.0352 | norm:   2.4320 | time:   226.77 | tok/s: 19752.453406 | lr: 0.008600
step:      180 | loss:   2.9506 | norm:   2.1006 | time:   235.05 | tok/s: 19804.608623 | lr: 0.009100
step:      190 | loss:   3.0823 | norm:   2.9782 | time:   243.37 | tok/s: 19544.438406 | lr: 0.009600
step:      200 | loss:   3.0640 | norm:   2.2917 | time:   251.83 | tok/s: 19563.339280 | lr: 0.010100
step:      210 | loss:   2.9241 | norm:   3.8534 | time:   260.24 | tok/s: 19911.295758 | lr: 0.010000
step:      220 | loss:   2.8378 | norm:   3.3465 | time:   268.69 | tok/s: 20023.478446 | lr: 0.010000
step:      230 | loss:   3.1083 | norm:   2.7604 | time:   277.06 | tok/s: 19977.643224 | lr: 0.010000
step:      240 | loss:   2.9674 | norm:   3.0751 | time:   285.33 | tok/s: 19338.723397 | lr: 0.010000
step:      250 | loss:   3.0029 | norm:   1.8915 | time:   293.67 | tok/s: 19884.234430 | lr: 0.010000
step:      260 | loss:   2.7214 | norm:   2.7799 | time:   301.99 | tok/s: 20070.321643 | lr: 0.010000
