step:        0 | loss:   5.3080 | norm:   0.6497 | time:     6.42 | tok/s: 3258.212136 | lr: 0.000100
step:       10 | loss:   5.2506 | norm:   1.5574 | time:    16.81 | tok/s: 26863.283818 | lr: 0.000600
step:       20 | loss:   5.1218 | norm:   1.5341 | time:    22.83 | tok/s: 27478.678765 | lr: 0.001100
step:       30 | loss:   4.8801 | norm:   1.6829 | time:    28.79 | tok/s: 26826.391380 | lr: 0.001600
step:       40 | loss:   4.5618 | norm:   1.9404 | time:    34.81 | tok/s: 27473.065131 | lr: 0.002100
step:       50 | loss:   4.3528 | norm:   2.0937 | time:    40.77 | tok/s: 26787.428031 | lr: 0.002600
step:       60 | loss:   4.1049 | norm:   2.0883 | time:    46.80 | tok/s: 27373.435431 | lr: 0.003100
step:       70 | loss:   3.8104 | norm:   2.2521 | time:    52.76 | tok/s: 27382.805020 | lr: 0.003600
step:       80 | loss:   3.5678 | norm:   2.1824 | time:    58.73 | tok/s: 27369.641426 | lr: 0.004100
step:       90 | loss:   3.4778 | norm:   2.2508 | time:    64.70 | tok/s: 26789.579248 | lr: 0.004600
step:      100 | loss:   3.6490 | norm:   2.0639 | time:    70.69 | tok/s: 26792.462004 | lr: 0.005100
step:      110 | loss:   3.3559 | norm:   2.0565 | time:    76.72 | tok/s: 27454.921662 | lr: 0.005600
step:      120 | loss:   3.2662 | norm:   2.5072 | time:    82.69 | tok/s: 26895.971732 | lr: 0.006100
step:      130 | loss:   3.1671 | norm:   2.9237 | time:    88.73 | tok/s: 27411.214725 | lr: 0.006600
step:      140 | loss:   3.1052 | norm:   1.7896 | time:    94.71 | tok/s: 27298.166709 | lr: 0.007100
step:      150 | loss:   2.9314 | norm:   1.9371 | time:   100.69 | tok/s: 27294.957280 | lr: 0.007600
step:      160 | loss:   3.0643 | norm:   2.3165 | time:   106.67 | tok/s: 27318.861781 | lr: 0.008100
step:      170 | loss:   3.0310 | norm:   2.3277 | time:   112.65 | tok/s: 27337.097677 | lr: 0.008600
step:      180 | loss:   2.9502 | norm:   2.0488 | time:   118.63 | tok/s: 27361.925836 | lr: 0.009100
step:      190 | loss:   3.0857 | norm:   2.7123 | time:   124.61 | tok/s: 27209.933735 | lr: 0.009600
step:      200 | loss:   3.0684 | norm:   2.2446 | time:   130.59 | tok/s: 27319.947863 | lr: 0.010100
step:      210 | loss:   2.8818 | norm:   1.9269 | time:   136.58 | tok/s: 27368.169897 | lr: 0.010000
step:      220 | loss:   2.8293 | norm:   2.2119 | time:   142.56 | tok/s: 27316.429270 | lr: 0.010000
step:      230 | loss:   3.1221 | norm:   2.9134 | time:   148.54 | tok/s: 27294.838025 | lr: 0.010000
step:      240 | loss:   2.9419 | norm:   4.8947 | time:   154.52 | tok/s: 26698.725871 | lr: 0.010000
step:      250 | loss:   2.9970 | norm:   2.1456 | time:   160.57 | tok/s: 27402.022364 | lr: 0.010000
step:      260 | loss:   2.7123 | norm:   2.7127 | time:   166.56 | tok/s: 27343.852654 | lr: 0.010000
step:      270 | loss:   2.8132 | norm:   1.9165 | time:   172.54 | tok/s: 26725.306996 | lr: 0.010000
step:      280 | loss:   2.8241 | norm:   2.7175 | time:   178.60 | tok/s: 27390.794413 | lr: 0.010000
step:      290 | loss:   2.7524 | norm:   2.6791 | time:   184.57 | tok/s: 27245.005006 | lr: 0.010000
