step:        0 | loss:   1.3267 | norm:   0.5563 | time:    10.48 | tok/s: 7525.460549 | lr: 0.000100
step:       10 | loss:   1.3103 | norm:   1.5125 | time:    37.25 | tok/s: 32707.541443 | lr: 0.000600
step:       20 | loss:   1.2716 | norm:   1.5282 | time:    57.44 | tok/s: 32696.021737 | lr: 0.001100
step:       30 | loss:   1.2119 | norm:   1.6699 | time:    77.60 | tok/s: 32512.823069 | lr: 0.001600
step:       40 | loss:   1.1417 | norm:   1.9585 | time:    97.79 | tok/s: 32620.634482 | lr: 0.002100
step:       50 | loss:   1.0502 | norm:   2.0698 | time:   117.98 | tok/s: 32614.414659 | lr: 0.002600
step:       60 | loss:   1.0507 | norm:   2.0356 | time:   138.17 | tok/s: 32619.333812 | lr: 0.003100
step:       70 | loss:   0.9716 | norm:   1.9185 | time:   158.28 | tok/s: 32631.636254 | lr: 0.003600
step:       80 | loss:   0.9182 | norm:   1.9715 | time:   178.47 | tok/s: 32633.212969 | lr: 0.004100
step:       90 | loss:   0.8363 | norm:   2.0071 | time:   198.66 | tok/s: 32600.907199 | lr: 0.004600
step:      100 | loss:   0.8191 | norm:   1.9304 | time:   218.76 | tok/s: 32628.471662 | lr: 0.005100
step:      110 | loss:   0.8067 | norm:   1.3788 | time:   238.89 | tok/s: 32533.864681 | lr: 0.005600
step:      120 | loss:   0.7579 | norm:   1.9416 | time:   259.12 | tok/s: 32564.922656 | lr: 0.006100
step:      130 | loss:   0.7554 | norm:   2.3712 | time:   279.30 | tok/s: 32370.883429 | lr: 0.006600
step:      140 | loss:   0.7187 | norm:   2.2422 | time:   299.47 | tok/s: 32545.231852 | lr: 0.007100
step:      150 | loss:   0.7134 | norm:   1.8550 | time:   319.70 | tok/s: 32537.176557 | lr: 0.007600
step:      160 | loss:   0.7135 | norm:   2.0901 | time:   339.85 | tok/s: 32538.150994 | lr: 0.008100
step:      170 | loss:   0.6858 | norm:   1.7281 | time:   360.08 | tok/s: 32541.976124 | lr: 0.008600
step:      180 | loss:   0.6806 | norm:   2.9221 | time:   380.33 | tok/s: 32554.702211 | lr: 0.009100
step:      190 | loss:   0.6974 | norm:   1.8613 | time:   400.49 | tok/s: 32570.521551 | lr: 0.009600
step:      200 | loss:   0.6659 | norm:   1.8027 | time:   420.65 | tok/s: 32512.230850 | lr: 0.010100
