step:        0 | loss:  10.6023 | norm:   0.5623 | time:    25.06 | tok/s: 2454.580643 | lr: 0.000100
step:       10 | loss:  10.4872 | norm:   0.5674 | time:    69.87 | tok/s: 32782.412586 | lr: 0.000600
step:       20 | loss:  10.1819 | norm:   0.5907 | time:    90.04 | tok/s: 32806.333855 | lr: 0.001100
step:       30 | loss:   9.6950 | norm:   0.7608 | time:   110.19 | tok/s: 32768.593761 | lr: 0.001600
step:       40 | loss:   9.1528 | norm:   0.8929 | time:   130.30 | tok/s: 32692.720218 | lr: 0.002100
step:       50 | loss:   8.5351 | norm:   0.9752 | time:   150.43 | tok/s: 32712.702849 | lr: 0.002600
step:       60 | loss:   8.2484 | norm:   1.0101 | time:   170.54 | tok/s: 32757.124704 | lr: 0.003100
step:       70 | loss:   7.5247 | norm:   0.8694 | time:   190.71 | tok/s: 32751.898541 | lr: 0.003600
step:       80 | loss:   7.0546 | norm:   0.8466 | time:   210.88 | tok/s: 32750.524949 | lr: 0.004100
step:       90 | loss:   6.6682 | norm:   0.8220 | time:   231.01 | tok/s: 32738.994448 | lr: 0.004600
step:      100 | loss:   6.5028 | norm:   2.1415 | time:   251.14 | tok/s: 32740.421668 | lr: 0.005100
step:      110 | loss:   6.2454 | norm:   1.9876 | time:   271.25 | tok/s: 32729.167169 | lr: 0.005600
step:      120 | loss:   6.0034 | norm:   2.5650 | time:   291.38 | tok/s: 32717.223336 | lr: 0.006100
step:      130 | loss:   5.7546 | norm:   1.8054 | time:   311.50 | tok/s: 32673.849422 | lr: 0.006600
step:      140 | loss:   5.7466 | norm:   2.0261 | time:   331.63 | tok/s: 32725.208298 | lr: 0.007100
step:      150 | loss:   5.6264 | norm:   1.9027 | time:   351.76 | tok/s: 32720.226004 | lr: 0.007600
step:      160 | loss:   5.3785 | norm:   1.7702 | time:   371.94 | tok/s: 32734.530315 | lr: 0.008100
step:      170 | loss:   5.4049 | norm:   2.7533 | time:   392.13 | tok/s: 32708.245882 | lr: 0.008600
step:      180 | loss:   5.3311 | norm:   2.1330 | time:   412.25 | tok/s: 32710.589044 | lr: 0.009100
step:      190 | loss:   5.2938 | norm:   2.1443 | time:   432.38 | tok/s: 32728.169568 | lr: 0.009600
