step:        0 | loss:  11.2860 | norm:   1.9865 | time:     6.57 | tok/s: 10377.061406 | lr: 0.000100
step:       10 | loss:  11.1179 | norm:   1.9116 | time:    30.79 | tok/s: 32988.303266 | lr: 0.000600
step:       20 | loss:  10.6632 | norm:   1.7783 | time:    50.71 | tok/s: 32898.423303 | lr: 0.001100
step:       30 | loss:  10.0648 | norm:   1.8860 | time:    70.66 | tok/s: 32884.179996 | lr: 0.001600
step:       40 | loss:   9.3987 | norm:   1.6806 | time:    90.61 | tok/s: 32861.838271 | lr: 0.002100
step:       50 | loss:   8.7917 | norm:   1.6095 | time:   110.65 | tok/s: 32867.512228 | lr: 0.002600
step:       60 | loss:   8.4292 | norm:   1.5624 | time:   130.70 | tok/s: 32863.339086 | lr: 0.003100
step:       70 | loss:   7.7197 | norm:   1.1526 | time:   150.65 | tok/s: 32873.663848 | lr: 0.003600
step:       80 | loss:   7.2293 | norm:   1.7128 | time:   170.61 | tok/s: 32879.617191 | lr: 0.004100
step:       90 | loss:   6.9447 | norm:   2.8204 | time:   190.57 | tok/s: 32839.507268 | lr: 0.004600
step:      100 | loss:   6.6431 | norm:   2.7237 | time:   210.52 | tok/s: 32843.850955 | lr: 0.005100
step:      110 | loss:   6.3759 | norm:   2.4396 | time:   230.49 | tok/s: 32857.835460 | lr: 0.005600
step:      120 | loss:   6.0932 | norm:   2.7595 | time:   250.45 | tok/s: 32865.248698 | lr: 0.006100
step:      130 | loss:   5.8250 | norm:   1.7935 | time:   270.49 | tok/s: 32887.650149 | lr: 0.006600
step:      140 | loss:   5.8303 | norm:   2.6022 | time:   290.45 | tok/s: 32871.364091 | lr: 0.007100
step:      150 | loss:   5.6906 | norm:   2.2406 | time:   310.41 | tok/s: 32869.721043 | lr: 0.007600
step:      160 | loss:   5.4416 | norm:   1.9322 | time:   330.37 | tok/s: 32885.238276 | lr: 0.008100
step:      170 | loss:   5.4721 | norm:   2.8856 | time:   350.33 | tok/s: 32857.442695 | lr: 0.008600
step:      180 | loss:   5.3953 | norm:   3.1190 | time:   370.37 | tok/s: 32829.074559 | lr: 0.009100
step:      190 | loss:   5.3472 | norm:   2.1254 | time:   390.33 | tok/s: 32845.958469 | lr: 0.009600
step:      200 | loss:   5.3240 | norm:   2.9784 | time:   410.30 | tok/s: 32837.039687 | lr: 0.010100
step:      210 | loss:   5.2194 | norm:   3.3908 | time:   430.26 | tok/s: 32880.572915 | lr: 0.010000
step:      220 | loss:   5.1233 | norm:   2.2923 | time:   450.30 | tok/s: 32851.811476 | lr: 0.010000
step:      230 | loss:   5.1692 | norm:   4.3414 | time:   470.26 | tok/s: 32880.836437 | lr: 0.010000
step:      240 | loss:   4.9512 | norm:   1.9744 | time:   490.22 | tok/s: 32845.075399 | lr: 0.010000
step:      250 | loss:   4.9986 | norm:   1.9821 | time:   510.27 | tok/s: 32854.516890 | lr: 0.010000
step:      260 | loss:   4.9275 | norm:   3.0410 | time:   530.34 | tok/s: 31583.809698 | lr: 0.010000
step:      270 | loss:   4.9445 | norm:   2.0072 | time:   550.41 | tok/s: 32818.530928 | lr: 0.010000
step:      280 | loss:   4.8251 | norm:   2.5481 | time:   570.45 | tok/s: 32828.000289 | lr: 0.010000
step:      290 | loss:   4.9096 | norm:   2.0431 | time:   590.49 | tok/s: 32846.872986 | lr: 0.010000
step:      300 | loss:   4.6624 | norm:   2.0395 | time:   610.47 | tok/s: 32858.338213 | lr: 0.010000
step:      310 | loss:   4.6896 | norm:   2.7622 | time:   630.43 | tok/s: 32852.584967 | lr: 0.010000
step:      320 | loss:   4.8404 | norm:   2.4202 | time:   650.50 | tok/s: 32846.692434 | lr: 0.010000
step:      330 | loss:   4.5624 | norm:   2.1377 | time:   670.47 | tok/s: 32833.733160 | lr: 0.010000
step:      340 | loss:   4.5932 | norm:   2.4506 | time:   690.45 | tok/s: 32843.313327 | lr: 0.010000
step:      350 | loss:   4.5361 | norm:   1.7363 | time:   710.42 | tok/s: 32858.475687 | lr: 0.010000
step:      360 | loss:   4.4942 | norm:   2.1983 | time:   730.47 | tok/s: 32819.988603 | lr: 0.010000
step:      370 | loss:   4.5194 | norm:   2.1475 | time:   750.45 | tok/s: 32835.529506 | lr: 0.010000
step:      380 | loss:   4.5056 | norm:   1.7782 | time:   770.42 | tok/s: 32867.296079 | lr: 0.010000
step:      390 | loss:   4.4998 | norm:   1.9864 | time:   790.39 | tok/s: 32851.132247 | lr: 0.010000
step:      400 | loss:   4.4203 | norm:   1.9498 | time:   810.44 | tok/s: 32851.069430 | lr: 0.010000
step:      410 | loss:   4.4773 | norm:   1.9459 | time:   830.42 | tok/s: 32857.069577 | lr: 0.010000
step:      420 | loss:   4.3529 | norm:   2.2165 | time:   850.39 | tok/s: 32830.897844 | lr: 0.010000
step:      430 | loss:   4.2860 | norm:   2.1678 | time:   870.36 | tok/s: 32878.114889 | lr: 0.010000
step:      440 | loss:   4.2623 | norm:   2.2553 | time:   890.41 | tok/s: 32852.184475 | lr: 0.010000
step:      450 | loss:   4.3903 | norm:   2.1524 | time:   910.38 | tok/s: 32849.809207 | lr: 0.010000
step:      460 | loss:   4.2444 | norm:   2.2320 | time:   930.43 | tok/s: 32843.109268 | lr: 0.010000
step:      470 | loss:   4.2519 | norm:   2.1769 | time:   950.40 | tok/s: 32829.474488 | lr: 0.010000
step:      480 | loss:   4.0890 | norm:   1.8386 | time:   970.45 | tok/s: 32852.310118 | lr: 0.010000
step:      490 | loss:   4.3118 | norm:   2.3876 | time:   990.42 | tok/s: 32875.621843 | lr: 0.010000
step:      500 | loss:   4.2183 | norm:   2.4892 | time:  1010.39 | tok/s: 16539.432384 | lr: 0.010000
step:      510 | loss:   4.3810 | norm:   1.9338 | time:  1032.32 | tok/s: 32860.856137 | lr: 0.010000
