step:        0 | loss:  11.2897 | norm:   2.0030 | time:     6.91 | tok/s: 10362.388817 | lr: 0.000100
step:       10 | loss:  11.1088 | norm:   1.9082 | time:    31.15 | tok/s: 33019.922012 | lr: 0.000600
step:       20 | loss:  10.6541 | norm:   1.7523 | time:    51.03 | tok/s: 32985.995359 | lr: 0.001100
step:       30 | loss:  10.0364 | norm:   1.7994 | time:    70.91 | tok/s: 32976.941032 | lr: 0.001600
step:       40 | loss:   9.4172 | norm:   1.8882 | time:    90.81 | tok/s: 32955.776956 | lr: 0.002100
step:       50 | loss:   8.7655 | norm:   1.4911 | time:   110.71 | tok/s: 32965.732904 | lr: 0.002600
step:       60 | loss:   8.4124 | norm:   1.5270 | time:   130.60 | tok/s: 32924.971021 | lr: 0.003100
step:       70 | loss:   7.7151 | norm:   1.1427 | time:   150.51 | tok/s: 32955.875734 | lr: 0.003600
step:       80 | loss:   7.2304 | norm:   2.0493 | time:   170.43 | tok/s: 32898.368180 | lr: 0.004100
step:       90 | loss:   6.9192 | norm:   1.5619 | time:   190.37 | tok/s: 32883.369612 | lr: 0.004600
step:      100 | loss:   6.6387 | norm:   2.0708 | time:   210.31 | tok/s: 32889.952185 | lr: 0.005100
step:      110 | loss:   6.3692 | norm:   2.0375 | time:   230.25 | tok/s: 32838.349930 | lr: 0.005600
step:      120 | loss:   6.0968 | norm:   2.3963 | time:   250.20 | tok/s: 32877.041338 | lr: 0.006100
step:      130 | loss:   5.8234 | norm:   2.1568 | time:   270.14 | tok/s: 32867.280359 | lr: 0.006600
step:      140 | loss:   5.8403 | norm:   2.3399 | time:   290.08 | tok/s: 32899.332870 | lr: 0.007100
step:      150 | loss:   5.6992 | norm:   2.8116 | time:   310.03 | tok/s: 32869.858613 | lr: 0.007600
step:      160 | loss:   5.4327 | norm:   2.3501 | time:   329.97 | tok/s: 32863.708417 | lr: 0.008100
step:      170 | loss:   5.4495 | norm:   2.4921 | time:   349.91 | tok/s: 32884.809448 | lr: 0.008600
step:      180 | loss:   5.3789 | norm:   2.5863 | time:   369.86 | tok/s: 32865.845988 | lr: 0.009100
step:      190 | loss:   5.3672 | norm:   2.5878 | time:   389.81 | tok/s: 32889.904960 | lr: 0.009600
step:      200 | loss:   5.2993 | norm:   2.4256 | time:   409.76 | tok/s: 32889.283184 | lr: 0.010100
step:      210 | loss:   5.2058 | norm:   2.2970 | time:   429.70 | tok/s: 32880.915101 | lr: 0.010000
step:      220 | loss:   5.1398 | norm:   2.6899 | time:   449.65 | tok/s: 32881.332028 | lr: 0.010000
step:      230 | loss:   5.1472 | norm:   2.2610 | time:   469.59 | tok/s: 32897.379923 | lr: 0.010000
step:      240 | loss:   4.9445 | norm:   2.0814 | time:   489.54 | tok/s: 32864.054182 | lr: 0.010000
step:      250 | loss:   5.0001 | norm:   2.1961 | time:   509.49 | tok/s: 32818.644559 | lr: 0.010000
step:      260 | loss:   4.9067 | norm:   1.9138 | time:   529.44 | tok/s: 32882.126577 | lr: 0.010000
step:      270 | loss:   4.9483 | norm:   1.9489 | time:   549.40 | tok/s: 32846.311710 | lr: 0.010000
step:      280 | loss:   4.8175 | norm:   2.2347 | time:   569.36 | tok/s: 32859.434111 | lr: 0.010000
step:      290 | loss:   4.9103 | norm:   1.6295 | time:   589.32 | tok/s: 32895.478386 | lr: 0.010000
step:      300 | loss:   4.6729 | norm:   2.0935 | time:   609.28 | tok/s: 32842.175340 | lr: 0.010000
step:      310 | loss:   4.6680 | norm:   1.9371 | time:   629.23 | tok/s: 32871.371953 | lr: 0.010000
step:      320 | loss:   4.8606 | norm:   2.0147 | time:   649.19 | tok/s: 32851.430633 | lr: 0.010000
step:      330 | loss:   4.5590 | norm:   2.1737 | time:   669.15 | tok/s: 32862.470797 | lr: 0.010000
step:      340 | loss:   4.5961 | norm:   2.1613 | time:   689.11 | tok/s: 32857.226678 | lr: 0.010000
step:      350 | loss:   4.5417 | norm:   1.9168 | time:   709.07 | tok/s: 32856.959606 | lr: 0.010000
step:      360 | loss:   4.4853 | norm:   2.3229 | time:   729.03 | tok/s: 32876.191986 | lr: 0.010000
step:      370 | loss:   4.5391 | norm:   2.7895 | time:   748.99 | tok/s: 32841.539672 | lr: 0.010000
step:      380 | loss:   4.5043 | norm:   1.9459 | time:   768.95 | tok/s: 32849.412708 | lr: 0.010000
step:      390 | loss:   4.4977 | norm:   2.1789 | time:   788.91 | tok/s: 32844.843846 | lr: 0.010000
step:      400 | loss:   4.4093 | norm:   1.8878 | time:   808.87 | tok/s: 32873.329675 | lr: 0.010000
step:      410 | loss:   4.4771 | norm:   2.2466 | time:   828.83 | tok/s: 32863.044413 | lr: 0.010000
step:      420 | loss:   4.3419 | norm:   1.9820 | time:   848.78 | tok/s: 32846.339184 | lr: 0.010000
step:      430 | loss:   4.2586 | norm:   1.7544 | time:   868.74 | tok/s: 32864.168129 | lr: 0.010000
step:      440 | loss:   4.2657 | norm:   2.2624 | time:   888.70 | tok/s: 32868.506551 | lr: 0.010000
step:      450 | loss:   4.3906 | norm:   1.9642 | time:   908.66 | tok/s: 32834.392059 | lr: 0.010000
step:      460 | loss:   4.2385 | norm:   2.0217 | time:   928.62 | tok/s: 32882.834623 | lr: 0.010000
step:      470 | loss:   4.2428 | norm:   2.1553 | time:   948.58 | tok/s: 32865.449102 | lr: 0.010000
step:      480 | loss:   4.0960 | norm:   1.8982 | time:   968.54 | tok/s: 32847.603067 | lr: 0.010000
step:      490 | loss:   4.3247 | norm:   2.1496 | time:   988.50 | tok/s: 32859.905487 | lr: 0.010000
step:      500 | loss:   4.2327 | norm:   3.0728 | time:  1008.45 | tok/s: 31121.700491 | lr: 0.010000
step:      510 | loss:   4.3789 | norm:   1.9243 | time:  1028.53 | tok/s: 32835.451059 | lr: 0.010000
step:      520 | loss:   4.1089 | norm:   2.4701 | time:  1048.50 | tok/s: 32855.761766 | lr: 0.010000
