W0413 09:38:14.257000 14692 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  12.9390 | norm:   5.3237 | time:    24.46 | tok/s: 938.500756 | lr: 0.000100
step:       10 | loss:  12.4012 | norm:   4.9803 | time:   127.25 | tok/s: 17920.080510 | lr: 0.000600
step:       20 | loss:  11.0805 | norm:   4.7308 | time:   163.83 | tok/s: 17930.512144 | lr: 0.001100
step:       30 | loss:   9.8417 | norm:   4.6863 | time:   200.45 | tok/s: 17884.732189 | lr: 0.001600
step:       40 | loss:   8.6074 | norm:   2.7385 | time:   237.12 | tok/s: 17855.793553 | lr: 0.002100
step:       50 | loss:   7.9276 | norm:   1.8824 | time:   273.80 | tok/s: 17856.976724 | lr: 0.002600
step:       60 | loss:   7.1186 | norm:   3.1237 | time:   310.48 | tok/s: 17877.652975 | lr: 0.003100
step:       70 | loss:   6.8002 | norm:   5.1718 | time:   347.29 | tok/s: 17882.521514 | lr: 0.003600
step:       80 | loss:   6.4206 | norm:   4.6882 | time:   384.10 | tok/s: 17885.364077 | lr: 0.004100
step:       90 | loss:   6.1855 | norm:   3.6571 | time:   420.90 | tok/s: 17869.309587 | lr: 0.004600
step:      100 | loss:   5.7845 | norm:   4.5880 | time:   457.64 | tok/s: 17878.721593 | lr: 0.005100
step:      110 | loss:   5.6465 | norm:   3.5476 | time:   494.39 | tok/s: 17901.035911 | lr: 0.005600
step:      120 | loss:   5.5027 | norm:   4.3553 | time:   531.14 | tok/s: 17878.649495 | lr: 0.006100
step:      130 | loss:   5.4005 | norm:   4.1576 | time:   567.95 | tok/s: 17866.531350 | lr: 0.006600
step:      140 | loss:   5.2823 | norm:   4.4717 | time:   604.76 | tok/s: 17874.041083 | lr: 0.007100
step:      150 | loss:   5.2543 | norm:   4.8288 | time:   641.51 | tok/s: 17889.343787 | lr: 0.007600
step:      160 | loss:   5.1141 | norm:   4.4635 | time:   678.26 | tok/s: 17863.962946 | lr: 0.008100
step:      170 | loss:   5.1306 | norm:   3.9687 | time:   715.27 | tok/s: 17905.435479 | lr: 0.008600
step:      180 | loss:   5.0129 | norm:   5.1652 | time:   752.03 | tok/s: 17875.933453 | lr: 0.009100
step:      190 | loss:   5.1427 | norm:   5.8219 | time:   788.79 | tok/s: 17896.750365 | lr: 0.009600
step:      200 | loss:   4.8111 | norm:   4.1097 | time:   825.60 | tok/s: 17866.378061 | lr: 0.010100
step:      210 | loss:   4.8258 | norm:   6.9194 | time:   862.37 | tok/s: 17873.027644 | lr: 0.010000
step:      220 | loss:   4.9479 | norm:   7.3787 | time:   899.14 | tok/s: 17868.490661 | lr: 0.010000
step:      230 | loss:   4.8078 | norm:   4.5351 | time:   935.89 | tok/s: 17864.841833 | lr: 0.010000
step:      240 | loss:   4.6625 | norm:   5.4825 | time:   972.72 | tok/s: 17870.510815 | lr: 0.010000
step:      250 | loss:   4.7840 | norm:   5.3383 | time:  1009.54 | tok/s: 17881.952644 | lr: 0.010000
step:      260 | loss:   4.6202 | norm:   4.0982 | time:  1046.31 | tok/s: 17866.033171 | lr: 0.010000
step:      270 | loss:   4.6113 | norm:   3.6606 | time:  1083.13 | tok/s: 17864.346070 | lr: 0.010000
step:      280 | loss:   4.4989 | norm:   3.6909 | time:  1119.90 | tok/s: 17860.298560 | lr: 0.010000
step:      290 | loss:   4.3912 | norm:   3.4472 | time:  1156.68 | tok/s: 17868.221187 | lr: 0.010000
step:      300 | loss:   4.5457 | norm:   3.5210 | time:  1193.47 | tok/s: 17858.814429 | lr: 0.010000
step:      310 | loss:   4.5473 | norm:   3.3270 | time:  1230.31 | tok/s: 17877.232074 | lr: 0.010000
step:      320 | loss:   4.3907 | norm:   3.8457 | time:  1267.09 | tok/s: 17868.172403 | lr: 0.010000
step:      330 | loss:   4.3496 | norm:   2.6633 | time:  1303.87 | tok/s: 17861.626247 | lr: 0.010000
step:      340 | loss:   4.3434 | norm:   2.4064 | time:  1340.71 | tok/s: 17869.101654 | lr: 0.010000
step:      350 | loss:   4.2406 | norm:   2.4768 | time:  1377.49 | tok/s: 17870.823347 | lr: 0.010000
step:      360 | loss:   4.3694 | norm:   2.7037 | time:  1414.25 | tok/s: 17867.229313 | lr: 0.010000
step:      370 | loss:   4.2214 | norm:   2.9427 | time:  1451.03 | tok/s: 17851.901796 | lr: 0.010000
step:      380 | loss:   4.2787 | norm:   2.6947 | time:  1487.80 | tok/s: 17876.604248 | lr: 0.010000
step:      390 | loss:   4.2973 | norm:   3.0946 | time:  1524.65 | tok/s: 17868.451169 | lr: 0.010000
step:      400 | loss:   4.1685 | norm:   2.5457 | time:  1561.48 | tok/s: 17864.270605 | lr: 0.010000
step:      410 | loss:   4.2240 | norm:   2.0668 | time:  1598.25 | tok/s: 17846.051118 | lr: 0.010000
step:      420 | loss:   4.0644 | norm:   2.4018 | time:  1635.10 | tok/s: 17864.016350 | lr: 0.010000
step:      430 | loss:   4.1895 | norm:   2.0861 | time:  1671.88 | tok/s: 17870.700192 | lr: 0.010000
step:      440 | loss:   4.3390 | norm:   2.3181 | time:  1708.71 | tok/s: 17871.779599 | lr: 0.010000
step:      450 | loss:   4.1406 | norm:   2.5484 | time:  1745.56 | tok/s: 17867.323385 | lr: 0.010000
step:      460 | loss:   4.2917 | norm:   2.9836 | time:  1782.39 | tok/s: 12259.341774 | lr: 0.010000
step:      470 | loss:   4.0913 | norm:   2.7205 | time:  1820.91 | tok/s: 17855.733239 | lr: 0.010000
step:      480 | loss:   4.1492 | norm:   2.5917 | time:  1857.75 | tok/s: 17868.681156 | lr: 0.010000
step:      490 | loss:   4.2135 | norm:   1.9745 | time:  1894.60 | tok/s: 17871.440310 | lr: 0.010000
step:      500 | loss:   4.0145 | norm:   2.6266 | time:  1931.44 | tok/s: 17854.168689 | lr: 0.010000
step:      510 | loss:   4.0439 | norm:   2.5841 | time:  1968.23 | tok/s: 17852.880373 | lr: 0.010000
step:      520 | loss:   4.3587 | norm:   3.5327 | time:  2005.07 | tok/s: 17860.122168 | lr: 0.010000
step:      530 | loss:   4.1244 | norm:   2.2281 | time:  2041.85 | tok/s: 17856.974404 | lr: 0.010000
step:      540 | loss:   4.2287 | norm:   2.3438 | time:  2078.70 | tok/s: 17866.441931 | lr: 0.010000
step:      550 | loss:   4.2041 | norm:   2.0007 | time:  2115.49 | tok/s: 17869.906696 | lr: 0.010000
