W0414 18:49:28.807000 24816 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
C:\Users\brodi\AppData\Local\Python\pythoncore-3.12-64\Lib\site-packages\torch\_inductor\lowering.py:7513: UserWarning:
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
C:\Users\brodi\AppData\Local\Python\pythoncore-3.12-64\Lib\site-packages\torch\_inductor\lowering.py:7513: UserWarning:
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
step:        0 | loss:  10.5802 | norm:   1.0693 | time:     8.34 | tok/s: 288.663613 | lr: 0.000100
step:       10 | loss:  10.5161 | norm:   0.7983 | time:   282.03 | tok/s: 12646.356045 | lr: 0.000600
step:       20 | loss:  10.3188 | norm:   0.7015 | time:   333.88 | tok/s: 12645.685820 | lr: 0.001100
step:       30 | loss:   9.9423 | norm:   0.8378 | time:   386.41 | tok/s: 12330.328598 | lr: 0.001600
step:       40 | loss:   9.2940 | norm:   1.1025 | time:   439.11 | tok/s: 12464.661474 | lr: 0.002100
step:       50 | loss:   8.5695 | norm:   2.0270 | time:   491.75 | tok/s: 12652.197337 | lr: 0.002600
step:       60 | loss:   7.7805 | norm:   4.4555 | time:   543.77 | tok/s: 12652.356906 | lr: 0.003100
step:       70 | loss:   7.2290 | norm:   2.0455 | time:   595.62 | tok/s: 12652.868252 | lr: 0.003600
step:       80 | loss:   6.7290 | norm:   8.7874 | time:   647.45 | tok/s: 12650.709580 | lr: 0.004100
step:       90 | loss:   6.4132 | norm:   1.8600 | time:   699.29 | tok/s: 12646.048850 | lr: 0.004600
step:      100 | loss:   5.9939 | norm:   1.9088 | time:   751.13 | tok/s: 12644.777756 | lr: 0.005100
step:      110 | loss:   5.8762 | norm:  46.4193 | time:   802.97 | tok/s: 12639.787766 | lr: 0.005600
step:      120 | loss:   5.6830 | norm:   1.9547 | time:   854.92 | tok/s: 12650.456900 | lr: 0.006100
step:      130 | loss:   5.5799 | norm:   3.3540 | time:   906.87 | tok/s: 12641.603755 | lr: 0.006600
