W0417 07:55:17.207000 7856 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  11.3310 | norm:   3.1731 | time:     5.68 | tok/s: 2306.113735 | lr: 0.000100
step:       10 | loss:  11.0726 | norm:   2.9749 | time:    56.71 | tok/s: 26153.317661 | lr: 0.000600
step:       20 | loss:  10.4151 | norm:   3.2545 | time:    81.85 | tok/s: 26173.466517 | lr: 0.001100
step:       30 | loss:   9.4668 | norm:   2.5941 | time:   106.92 | tok/s: 26148.727437 | lr: 0.001600
step:       40 | loss:   8.5232 | norm:   3.0044 | time:   131.99 | tok/s: 26148.814499 | lr: 0.002100
step:       50 | loss:   7.9023 | norm:   1.7860 | time:   157.25 | tok/s: 25959.358198 | lr: 0.002600
step:       60 | loss:   7.1064 | norm:   1.7388 | time:   182.45 | tok/s: 26094.805610 | lr: 0.003100
step:       70 | loss:   6.6759 | norm:   1.3406 | time:   207.69 | tok/s: 26096.673583 | lr: 0.003600
step:       80 | loss:   6.3254 | norm:   1.9730 | time:   232.88 | tok/s: 26076.553685 | lr: 0.004100
step:       90 | loss:   6.1659 | norm:   3.1034 | time:   258.09 | tok/s: 26077.798055 | lr: 0.004600
step:      100 | loss:   5.7652 | norm:   3.1378 | time:   283.33 | tok/s: 26087.918220 | lr: 0.005100
step:      110 | loss:   5.6472 | norm:   3.6341 | time:   308.54 | tok/s: 26082.883143 | lr: 0.005600
step:      120 | loss:   5.4552 | norm:   2.9954 | time:   333.75 | tok/s: 26078.374513 | lr: 0.006100
step:      130 | loss:   5.3462 | norm:   3.5934 | time:   358.98 | tok/s: 23492.878406 | lr: 0.006600
step:      140 | loss:   5.1903 | norm:   3.1691 | time:   385.15 | tok/s: 26184.035213 | lr: 0.007100
step:      150 | loss:   5.2131 | norm:   3.1074 | time:   410.29 | tok/s: 26122.034100 | lr: 0.007600
step:      160 | loss:   5.0501 | norm:   3.5748 | time:   435.36 | tok/s: 26139.275906 | lr: 0.008100
step:      170 | loss:   5.0871 | norm:   3.7784 | time:   460.45 | tok/s: 26155.873459 | lr: 0.008600
step:      180 | loss:   4.8942 | norm:   4.3115 | time:   485.53 | tok/s: 26125.656444 | lr: 0.009100
step:      190 | loss:   4.9400 | norm:   5.0542 | time:   510.62 | tok/s: 26152.593567 | lr: 0.009600
step:      200 | loss:   4.7470 | norm:   4.4158 | time:   535.78 | tok/s: 26168.154228 | lr: 0.010100
step:      210 | loss:   4.7017 | norm:   3.7911 | time:   560.86 | tok/s: 26145.372244 | lr: 0.010000
step:      220 | loss:   4.7431 | norm:   3.0884 | time:   585.95 | tok/s: 26113.293965 | lr: 0.010000
step:      230 | loss:   4.7069 | norm:   3.1794 | time:   611.05 | tok/s: 26109.474164 | lr: 0.010000
step:      240 | loss:   4.5405 | norm:   4.6529 | time:   636.13 | tok/s: 26123.727216 | lr: 0.010000
step:      250 | loss:   4.6757 | norm:   3.2498 | time:   661.31 | tok/s: 26115.129851 | lr: 0.010000
step:      260 | loss:   4.5089 | norm:   2.8266 | time:   686.41 | tok/s: 26099.884943 | lr: 0.010000
step:      270 | loss:   4.4782 | norm:   3.6679 | time:   711.54 | tok/s: 26098.237040 | lr: 0.010000
step:      280 | loss:   4.4362 | norm:   2.7689 | time:   736.67 | tok/s: 26089.562344 | lr: 0.010000
step:      290 | loss:   4.2514 | norm:   2.0699 | time:   761.80 | tok/s: 26104.819983 | lr: 0.010000
step:      300 | loss:   4.4453 | norm:   2.9696 | time:   786.99 | tok/s: 26120.286598 | lr: 0.010000
step:      310 | loss:   4.4547 | norm:   2.6878 | time:   812.19 | tok/s: 26114.100234 | lr: 0.010000
step:      320 | loss:   4.3175 | norm:   2.7761 | time:   837.31 | tok/s: 26092.497025 | lr: 0.010000
