W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:       10 | loss:  10.6575 | norm:   1.7475 | time:    80.31 | tok/s:  25192.0 | lr: 0.000600
step:       20 | loss:  10.0915 | norm:   1.9351 | time:   106.33 | tok/s:  25188.4 | lr: 0.001100
step:       30 | loss:   9.1968 | norm:   1.9444 | time:   132.43 | tok/s:  25220.6 | lr: 0.001600
step:       40 | loss:   8.2608 | norm:   1.7645 | time:   158.49 | tok/s:  25118.0 | lr: 0.002100
step:       50 | loss:   7.6442 | norm:   1.3656 | time:   184.60 | tok/s:  25115.0 | lr: 0.002600
step:       60 | loss:   6.8537 | norm:   1.1534 | time:   210.71 | tok/s:  25101.5 | lr: 0.003100
step:       70 | loss:   6.5037 | norm:   0.9520 | time:   236.90 | tok/s:  25151.6 | lr: 0.003600
step:       80 | loss:   6.1487 | norm:   0.8528 | time:   262.99 | tok/s:  25122.9 | lr: 0.004100
step:       90 | loss:   6.0265 | norm:   1.9707 | time:   289.10 | tok/s:  25096.3 | lr: 0.004600
step:      100 | loss:   5.6657 | norm:   2.0979 | time:   315.22 | tok/s:  25119.9 | lr: 0.005100
step:      110 | loss:   5.5985 | norm:   2.1761 | time:   341.34 | tok/s:  25098.0 | lr: 0.005600
step:      120 | loss:   5.4078 | norm:   2.5578 | time:   367.45 | tok/s:  25096.0 | lr: 0.006100
step:      130 | loss:   5.3133 | norm:   1.5160 | time:   393.58 | tok/s:  25116.6 | lr: 0.006600
step:      140 | loss:   5.2440 | norm:   2.3847 | time:   419.70 | tok/s:  25113.8 | lr: 0.007100
step:      150 | loss:   5.2462 | norm:   2.5601 | time:   445.80 | tok/s:  25103.7 | lr: 0.007600
step:      160 | loss:   5.0290 | norm:   2.1857 | time:   471.92 | tok/s:  25106.9 | lr: 0.008100
step:      170 | loss:   5.0838 | norm:   2.5392 | time:   498.04 | tok/s:  25111.5 | lr: 0.008600
step:      180 | loss:   4.8757 | norm:   3.9553 | time:   524.16 | tok/s:  25107.2 | lr: 0.009100
step:      190 | loss:   4.9767 | norm:   3.4616 | time:   550.27 | tok/s:  25101.6 | lr: 0.009600
step:      200 | loss:   4.7302 | norm:   2.7235 | time:   576.39 | tok/s:  25128.2 | lr: 0.010100
step:      210 | loss:   4.6986 | norm:   3.2690 | time:   602.51 | tok/s:  25104.0 | lr: 0.010000
step:      220 | loss:   4.7329 | norm:   2.3644 | time:   628.63 | tok/s:  25121.1 | lr: 0.010000
step:      230 | loss:   4.7028 | norm:   2.0954 | time:   654.75 | tok/s:  25129.6 | lr: 0.010000
step:      240 | loss:   4.4980 | norm:   2.5810 | time:   680.86 | tok/s:  25122.8 | lr: 0.010000
step:      250 | loss:   4.6562 | norm:   2.6241 | time:   706.98 | tok/s:  25107.0 | lr: 0.010000
step:      260 | loss:   4.4995 | norm:   2.8282 | time:   733.11 | tok/s:  25114.2 | lr: 0.010000
step:      270 | loss:   4.4650 | norm:   2.1346 | time:   759.22 | tok/s:  25094.6 | lr: 0.010000
step:      280 | loss:   4.4067 | norm:   2.4075 | time:   785.34 | tok/s:  25093.8 | lr: 0.010000
step:      290 | loss:   4.2694 | norm:   1.9397 | time:   811.45 | tok/s:  25097.1 | lr: 0.010000
step:      300 | loss:   4.4124 | norm:   1.8203 | time:   837.64 | tok/s:  25123.6 | lr: 0.010000
step:      310 | loss:   4.4353 | norm:   1.8573 | time:   863.74 | tok/s:  25118.7 | lr: 0.010000
step:      320 | loss:   4.2851 | norm:   1.6261 | time:   889.86 | tok/s:  25095.0 | lr: 0.010000
step:      330 | loss:   4.2404 | norm:   2.0590 | time:   915.98 | tok/s:  25124.9 | lr: 0.010000
step:      340 | loss:   4.2871 | norm:   1.8218 | time:   942.10 | tok/s:  25123.1 | lr: 0.010000
step:      350 | loss:   4.1511 | norm:   1.3519 | time:   968.21 | tok/s:  25120.7 | lr: 0.010000
step:      360 | loss:   4.2589 | norm:   1.6184 | time:   994.33 | tok/s:  25107.3 | lr: 0.010000
step:      370 | loss:   4.0815 | norm:   1.4904 | time:  1020.51 | tok/s:  25139.5 | lr: 0.010000
