Model Parameters: 163.6M
step:      100 | loss:   5.5851 | norm:   2.5476 | time:   390.24 | tok/s:  18964.6 | lr: 0.005100 | mfu:    44.75%
step:      110 | loss:   5.4816 | norm:   2.2510 | time:   432.00 | tok/s:  33877.7 | lr: 0.005600 | mfu:    79.94%
step:      120 | loss:   5.2749 | norm:   2.6252 | time:   470.57 | tok/s:  34021.1 | lr: 0.006100 | mfu:    80.28%
step:      130 | loss:   5.1658 | norm:   3.6157 | time:   509.12 | tok/s:  34051.2 | lr: 0.006600 | mfu:    80.35%
step:      140 | loss:   4.9801 | norm:   2.7972 | time:   548.57 | tok/s:  32052.8 | lr: 0.007100 | mfu:    75.64%
step:      150 | loss:   5.0081 | norm:   2.7958 | time:   589.67 | tok/s:  32158.5 | lr: 0.007600 | mfu:    75.89%
step:      160 | loss:   4.7977 | norm:   2.3465 | time:   631.70 | tok/s:  30406.0 | lr: 0.008100 | mfu:    71.75%
step:      170 | loss:   4.7714 | norm:   3.2529 | time:   672.99 | tok/s:  32616.8 | lr: 0.008600 | mfu:    76.97%
step:      180 | loss:   4.8060 | norm:   4.6260 | time:   711.75 | tok/s:  33959.0 | lr: 0.009100 | mfu:    80.14%
step:      190 | loss:   4.6543 | norm:   2.7642 | time:   750.31 | tok/s:  34026.9 | lr: 0.009600 | mfu:    80.30%
step:      200 | loss:   4.5610 | norm:   4.0181 | time:   788.90 | tok/s:  33990.3 | lr: 0.010100 | mfu:    80.21%
Model saved to saved_models
step:      210 | loss:   4.4408 | norm:   2.5177 | time:   838.65 | tok/s:  33954.1 | lr: 0.010000 | mfu:    80.12%
step:      220 | loss:   4.4803 | norm:   2.8206 | time:   877.24 | tok/s:  33963.1 | lr: 0.010000 | mfu:    80.15%
step:      230 | loss:   4.4497 | norm:   4.5911 | time:   915.82 | tok/s:  33436.9 | lr: 0.010000 | mfu:    78.90%
step:      240 | loss:   4.4557 | norm:   1.9623 | time:   954.57 | tok/s:  34052.3 | lr: 0.010000 | mfu:    80.36%
step:      250 | loss:   4.3453 | norm:   2.8160 | time:   994.50 | tok/s:  33673.8 | lr: 0.010000 | mfu:    79.46%
step:      260 | loss:   4.3367 | norm:   2.4100 | time:  1034.23 | tok/s:  32846.9 | lr: 0.010000 | mfu:    77.51%
step:      270 | loss:   4.3010 | norm:   2.5394 | time:  1074.32 | tok/s:  33683.8 | lr: 0.010000 | mfu:    79.49%
step:      280 | loss:   4.3009 | norm:   2.4198 | time:  1113.94 | tok/s:  33309.1 | lr: 0.010000 | mfu:    78.60%
step:      290 | loss:   4.2134 | norm:   2.4430 | time:  1154.31 | tok/s:  31913.5 | lr: 0.010000 | mfu:    75.31%
step:      300 | loss:   4.2411 | norm:   2.6438 | time:  1194.66 | tok/s:  31762.3 | lr: 0.010000 | mfu:    74.95%
Model saved to saved_models
step:      310 | loss:   3.9805 | norm:   1.9275 | time:  1246.97 | tok/s:  31499.0 | lr: 0.010000 | mfu:    74.33%
step:      320 | loss:   4.0426 | norm:   2.1916 | time:  1288.11 | tok/s:  32629.3 | lr: 0.010000 | mfu:    77.00%
step:      330 | loss:   4.1711 | norm:   1.8998 | time:  1328.10 | tok/s:  33944.4 | lr: 0.010000 | mfu:    80.10%
step:      340 | loss:   4.1737 | norm:   2.3608 | time:  1367.49 | tok/s:  33165.2 | lr: 0.010000 | mfu:    78.26%
step:      350 | loss:   4.0771 | norm:   2.0287 | time:  1407.62 | tok/s:  33965.2 | lr: 0.010000 | mfu:    80.15%
step:      360 | loss:   3.9581 | norm:   1.9377 | time:  1447.95 | tok/s:  32777.6 | lr: 0.010000 | mfu:    77.35%
step:      370 | loss:   4.0678 | norm:   1.9044 | time:  1487.76 | tok/s:  33386.3 | lr: 0.010000 | mfu:    78.79%
step:      380 | loss:   4.0157 | norm:   1.6545 | time:  1526.92 | tok/s:  31256.5 | lr: 0.010000 | mfu:    73.76%
step:      390 | loss:   4.0936 | norm:   2.7632 | time:  1566.99 | tok/s:  33981.0 | lr: 0.010000 | mfu:    80.19%
step:      400 | loss:   3.9233 | norm:   1.7438 | time:  1606.90 | tok/s:  33171.6 | lr: 0.010000 | mfu:    78.28%
Model saved to saved_models
step:      410 | loss:   3.9718 | norm:   1.9852 | time:  1658.29 | tok/s:  33955.0 | lr: 0.010000 | mfu:    80.13%
step:      420 | loss:   3.9197 | norm:   2.0626 | time:  1696.90 | tok/s:  33981.4 | lr: 0.010000 | mfu:    80.19%
step:      430 | loss:   3.7993 | norm:   2.3521 | time:  1735.57 | tok/s:  33932.7 | lr: 0.010000 | mfu:    80.07%
step:      440 | loss:   3.9430 | norm:   2.0267 | time:  1774.18 | tok/s:  33985.1 | lr: 0.010000 | mfu:    80.20%
step:      450 | loss:   3.8896 | norm:   1.4491 | time:  1812.77 | tok/s:  33988.1 | lr: 0.010000 | mfu:    80.21%
step:      460 | loss:   3.8110 | norm:   1.8247 | time:  1851.37 | tok/s:  33338.1 | lr: 0.010000 | mfu:    78.67%
step:      470 | loss:   3.7744 | norm:   1.7804 | time:  1890.03 | tok/s:  33978.1 | lr: 0.010000 | mfu:    80.18%
step:      480 | loss:   3.8122 | norm:   1.8308 | time:  1928.63 | tok/s:  33978.9 | lr: 0.010000 | mfu:    80.18%
step:      490 | loss:   3.6780 | norm:   1.6849 | time:  1967.31 | tok/s:  33954.0 | lr: 0.010000 | mfu:    80.12%
step:      500 | loss:   3.7731 | norm:   2.1784 | time:  2005.91 | tok/s:  33971.8 | lr: 0.010000 | mfu:    80.17%
Model saved to saved_models
step:      510 | loss:   3.6996 | norm:   1.6184 | time:  2055.89 | tok/s:  33984.1 | lr: 0.010000 | mfu:    80.20%
step:      520 | loss:   3.6975 | norm:   2.1809 | time:  2094.48 | tok/s:  33962.0 | lr: 0.010000 | mfu:    80.14%
step:      530 | loss:   3.8404 | norm:   2.6073 | time:  2133.08 | tok/s:  33988.3 | lr: 0.010000 | mfu:    80.21%
step:      540 | loss:   3.6946 | norm:   2.0002 | time:  2171.75 | tok/s:  33949.8 | lr: 0.010000 | mfu:    80.11%
step:      550 | loss:   3.8364 | norm:   2.0384 | time:  2210.46 | tok/s:  33973.6 | lr: 0.010000 | mfu:    80.17%
step:      560 | loss:   3.7723 | norm:   1.7333 | time:  2249.64 | tok/s:  32735.3 | lr: 0.010000 | mfu:    77.25%
