Model Parameters: 163.6M
step:    11400 | loss:   2.8232 | norm:   1.9832 | time: 45524.38 | tok/s:   6529.6 | lr: 0.010000 | mfu:    15.41%
step:    11410 | loss:   3.0005 | norm:   1.5179 | time: 45579.08 | tok/s:  34125.8 | lr: 0.010000 | mfu:    80.53%
step:    11420 | loss:   2.9813 | norm:   1.5354 | time: 45618.99 | tok/s:  34146.7 | lr: 0.010000 | mfu:    80.58%
step:    11430 | loss:   2.9392 | norm:   1.6388 | time: 45657.43 | tok/s:  34102.8 | lr: 0.010000 | mfu:    80.48%
step:    11440 | loss:   2.9811 | norm:   1.6601 | time: 45695.89 | tok/s:  34099.4 | lr: 0.010000 | mfu:    80.47%
step:    11450 | loss:   2.9545 | norm:   1.4993 | time: 45734.35 | tok/s:  34092.0 | lr: 0.010000 | mfu:    80.45%
step:    11460 | loss:   2.9431 | norm:   1.5682 | time: 45772.81 | tok/s:  34100.1 | lr: 0.010000 | mfu:    80.47%
step:    11470 | loss:   2.9300 | norm:   1.5794 | time: 45811.28 | tok/s:  34093.4 | lr: 0.010000 | mfu:    80.45%
step:    11480 | loss:   2.9409 | norm:   1.5813 | time: 45849.82 | tok/s:  33454.8 | lr: 0.010000 | mfu:    78.95%
step:    11490 | loss:   2.9633 | norm:   1.8150 | time: 45888.36 | tok/s:  34075.7 | lr: 0.010000 | mfu:    80.41%
step:    11500 | loss:   2.8931 | norm:   1.4654 | time: 45926.84 | tok/s:  34074.4 | lr: 0.010000 | mfu:    80.41%
Model saved to saved_models
step:    11510 | loss:   2.9030 | norm:   1.9740 | time: 45976.40 | tok/s:  34083.1 | lr: 0.010000 | mfu:    80.43%
step:    11520 | loss:   3.0266 | norm:   1.6366 | time: 46014.88 | tok/s:  34048.6 | lr: 0.010000 | mfu:    80.35%
step:    11530 | loss:   3.1203 | norm:   1.7393 | time: 46053.37 | tok/s:  34084.9 | lr: 0.010000 | mfu:    80.43%
step:    11540 | loss:   3.0337 | norm:   1.8531 | time: 46091.86 | tok/s:  34097.6 | lr: 0.010000 | mfu:    80.46%
step:    11550 | loss:   3.0699 | norm:   1.9032 | time: 46130.35 | tok/s:  34051.1 | lr: 0.010000 | mfu:    80.35%
step:    11560 | loss:   3.0380 | norm:   1.6726 | time: 46168.85 | tok/s:  34047.5 | lr: 0.010000 | mfu:    80.35%
step:    11570 | loss:   3.0950 | norm:   1.7551 | time: 46207.35 | tok/s:  33996.1 | lr: 0.010000 | mfu:    80.22%
step:    11580 | loss:   3.0418 | norm:   1.7440 | time: 46245.91 | tok/s:  33992.8 | lr: 0.010000 | mfu:    80.22%
step:    11590 | loss:   3.1421 | norm:   1.6033 | time: 46284.48 | tok/s:  33986.5 | lr: 0.010000 | mfu:    80.20%
step:    11600 | loss:   3.0706 | norm:   1.4596 | time: 46323.07 | tok/s:  33990.9 | lr: 0.010000 | mfu:    80.21%
Model saved to saved_models
step:    11610 | loss:   3.0286 | norm:   1.4992 | time: 46372.72 | tok/s:  34004.7 | lr: 0.010000 | mfu:    80.24%
step:    11620 | loss:   3.1056 | norm:   1.5252 | time: 46411.29 | tok/s:  34002.2 | lr: 0.010000 | mfu:    80.24%
step:    11630 | loss:   3.0053 | norm:   1.7285 | time: 46449.87 | tok/s:  34004.2 | lr: 0.010000 | mfu:    80.24%
step:    11640 | loss:   2.9683 | norm:   1.7221 | time: 46488.43 | tok/s:  33991.0 | lr: 0.010000 | mfu:    80.21%
step:    11650 | loss:   3.0729 | norm:   1.3941 | time: 46529.77 | tok/s:  34004.7 | lr: 0.010000 | mfu:    80.24%
step:    11660 | loss:   3.0243 | norm:   1.4446 | time: 46568.34 | tok/s:  34006.9 | lr: 0.010000 | mfu:    80.25%
step:    11670 | loss:   3.0094 | norm:   1.7250 | time: 46606.90 | tok/s:  33978.6 | lr: 0.010000 | mfu:    80.18%
step:    11680 | loss:   3.0368 | norm:   1.1940 | time: 46645.48 | tok/s:  33991.8 | lr: 0.010000 | mfu:    80.21%
step:    11690 | loss:   3.0169 | norm:   1.5534 | time: 46684.05 | tok/s:  33996.8 | lr: 0.010000 | mfu:    80.23%
step:    11700 | loss:   2.9143 | norm:   1.7037 | time: 46722.61 | tok/s:  33990.3 | lr: 0.010000 | mfu:    80.21%
Model saved to saved_models
step:    11710 | loss:   2.9066 | norm:   1.5570 | time: 46768.96 | tok/s:  34043.7 | lr: 0.010000 | mfu:    80.34%
step:    11720 | loss:   2.8982 | norm:   1.5505 | time: 46807.52 | tok/s:  33997.5 | lr: 0.010000 | mfu:    80.23%
step:    11730 | loss:   2.9257 | norm:   1.4875 | time: 46846.09 | tok/s:  33989.6 | lr: 0.010000 | mfu:    80.21%
step:    11740 | loss:   2.9347 | norm:   1.6610 | time: 46884.68 | tok/s:  33993.0 | lr: 0.010000 | mfu:    80.22%
step:    11750 | loss:   3.0195 | norm:   1.5435 | time: 46923.26 | tok/s:  33986.6 | lr: 0.010000 | mfu:    80.20%
step:    11760 | loss:   2.8625 | norm:   1.4683 | time: 46961.83 | tok/s:  33979.9 | lr: 0.010000 | mfu:    80.19%
step:    11770 | loss:   3.0880 | norm:   1.5605 | time: 47000.41 | tok/s:  34006.0 | lr: 0.010000 | mfu:    80.25%
step:    11780 | loss:   3.0522 | norm:   1.7466 | time: 47038.99 | tok/s:  33981.0 | lr: 0.010000 | mfu:    80.19%
step:    11790 | loss:   2.9667 | norm:   1.6125 | time: 47077.55 | tok/s:  34003.8 | lr: 0.010000 | mfu:    80.24%
step:    11800 | loss:   3.0313 | norm:   1.6102 | time: 47116.12 | tok/s:  33961.4 | lr: 0.010000 | mfu:    80.14%
Model saved to saved_models
step:    11810 | loss:   2.9661 | norm:   1.5562 | time: 47166.08 | tok/s:  33992.6 | lr: 0.010000 | mfu:    80.22%
step:    11820 | loss:   3.2969 | norm:   1.5777 | time: 47204.64 | tok/s:  33998.1 | lr: 0.010000 | mfu:    80.23%
step:    11830 | loss:   3.1578 | norm:   1.6484 | time: 47243.20 | tok/s:  33994.7 | lr: 0.010000 | mfu:    80.22%
